id,registration_display,fid,name,factory_type,province,district,sub_district,address_full,lat,lng,coord_source,last_seen_in_feed,absent_from_feed_as_of
จ3-41(2)-21/48สค,จ3-41(2)-21/48สค,"=""20740102125488""",วิษณุกรรมมงคล,3,สมุทรสาคร,เมืองสมุทรสาคร,บ้านเกาะ,111/5 ม.1 ซ.ต้นรวงทอง ถ.เศรษฐกิจ,13.604766666667,100.26941666667,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-21/57ปท,จ3-41(2)-21/57ปท,"=""20130202125572""",บริษัท คานากาว่า โมลด์ แอนด์ ดาย จำกัด,3,ปทุมธานี,เมืองปทุมธานี,บางพูด,5/5 ม.6,14.035,100.572,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-21/59ปจ,จ3-41(2)-21/59ปจ,"=""20250002125596""",บริษัท เอส พี ดี สแตมป์ปิ้ง พาร์ทส จำกัด,3,ปราจีนบุรี,ศรีมหาโพธิ,กรอกสมบูรณ์,222 ม.2,13.8537797865322,101.617937386036,geocoded,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-24/59ฉช,จ3-41(2)-24/59ฉช,"=""20240002425591""",บริษัท โฮเรียนเต็ล ไวร์ เทค จำกัด,3,ฉะเชิงเทรา,บางปะกง,ท่าสะอ้าน,260/2 ม.6,13.548695,100.9897899,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-25/49สป,จ3-41(2)-25/49สป,"=""20110002525494""",บริษัท ที แอนด์ ที โปรดัคชั่นเทคโนโลยี จำกัด,3,สมุทรปราการ,บางพลี,บางปลา,104/46 ม.12 ซ.รัตนโชค 12 ถ.ธนสิทธ์,13.5552,100.71446666667,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-27/59ปจ,จ3-41(2)-27/59ปจ,"=""20250002725593""",บริษัท ทริค แมนูแฟคเชอร์ริ่ง (ประเทศไทย) จำกัด,3,ปราจีนบุรี,ศรีมหาโพธิ,ท่าตูม,223 ม.7,13.901177,101.568654,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-3/46ฉช,จ3-41(2)-3/46ฉช,"=""20240100325461""",บริษัท ที ที เอส พลาสติก จำกัด,3,ฉะเชิงเทรา,บางปะกง,หนองจอก,ม.4 ถ.พิมพาวาส-แสนภูดาษ,13.59765,100.99384,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-3/50สค,จ3-41(2)-3/50สค,"=""20740500325508""",บริษัท เซ็นทรัล เอ็กทรูชั่น ดาย จำกัด,3,สมุทรสาคร,เมืองสมุทรสาคร,บางโทรัด,9/4 ม.4,13.511483333333,100.17046666667,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-31/51ชบ,จ3-41(2)-31/51ชบ,"=""20200003125517""",บริษัท เปเปอร์มิลล์ กรุ๊ป จำกัด,3,ชลบุรี,บางละมุง,หนองปลาไหล,84/7 ม.1 ถ.สาย 36,12.982,100.945,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-32/49ชบ,จ3-41(2)-32/49ชบ,"=""20200003225499""",บริษัท ซุปเปอร์ฟาสท์ เทคโนโลยี (ประเทศไทย) จำกัด,3,ชลบุรี,เมืองชลบุรี,หนองข้างคอก,43/4 ม.4,13.3295,101.00567,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-32/51ฉช,จ3-41(2)-32/51ฉช,"=""20240003225511""",นายสุพจน์ มธุรพงศ์ธร,3,ฉะเชิงเทรา,บางปะกง,พิมพา,49/16 ม.1,13.54873,100.99026,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
